name,sdgs/0/shortName,sdgs/1/shortName,sdgs/2/shortName,sdgs/3/shortName,sdgs/4/shortName,sdgs/5/shortName,sdgs/6/shortName,sdgs/7/shortName,sdgs/8/shortName,sdgs/9/shortName,sdgs/10/shortName,sdgs/11/shortName,sdgs/12/shortName,sdgs/13/shortName,sdgs/14/shortName,sdgs/15/shortName,sdgs/16/shortName
Poland,,SDG2,,,,,SDG7,SDG8,SDG9,,,,SDG13,SDG14,SDG15,SDG16,SDG17
Portugal,,SDG2,,SDG4,,,,SDG8,SDG9,SDG10,,SDG12,SDG13,SDG14,SDG15,,SDG17
Montenegro,,SDG2,,,SDG5,,,SDG8,SDG9,,,SDG12,SDG13,SDG14,SDG15,SDG16,
Qatar,,SDG2,,,SDG5,SDG6,SDG7,,,SDG10,SDG11,,SDG13,SDG14,SDG15,,
Serbia,,,,,SDG5,,,SDG8,,,,SDG12,SDG13,,SDG15,SDG16,
Romania,,,SDG3,SDG4,SDG5,,,,SDG9,,,SDG12,SDG13,,,,
Russian Federation,,,SDG3,,SDG5,SDG6,,,,SDG10,,,SDG13,SDG14,SDG15,SDG16,
Rwanda,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,,,SDG16,
Samoa,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,
Saudi Arabia,,SDG2,SDG3,,SDG5,SDG6,SDG7,,SDG9,,SDG11,,SDG13,,,,
Senegal,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,SDG14,SDG15,SDG16,
Seychelles,,,,,,,,,,,,,,,,,
Sierra Leone,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
Singapure,,SDG2,,,,,,,,,,,SDG13,SDG14,SDG15,SDG16,
Slovak Republic,,SDG2,,,SDG5,,SDG7,SDG8,SDG9,,,,SDG13,,SDG15,SDG16,SDG17
Slovenia,,SDG2,,,,,,,SDG9,,,,SDG13,,,SDG16,SDG17
Somalia,,,,,,,,,,,,,,,,,
South Africa,SDG1,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,SDG10,,SDG12,SDG13,SDG14,SDG15,SDG16,
South Sudan,,,,,,,,,,,,,,,,,
Spain,,SDG2,,SDG4,,,,SDG8,SDG9,,,SDG12,SDG13,SDG14,SDG15,,SDG17
Sri Lanka,,SDG2,SDG3,,SDG5,,SDG7,,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,SDG17
Sudan,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Suriname,,SDG2,SDG3,,,,,,SDG9,SDG10,,SDG12,SDG13,SDG14,,SDG16,
Swaziland,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,,SDG13,,SDG15,SDG16,
Sweden,,,,,,,,,,,,,SDG13,,SDG15,,
Switzerland,,,,,,,,,,,,SDG12,SDG13,,,,
Syria,,,,,,,,,,,,,,,,,
Tajikistan,,SDG2,SDG3,,SDG5,SDG6,,SDG8,SDG9,,,SDG12,SDG13,,SDG15,SDG16,
Tanzania,SDG1,SDG2,SDG3,SDG4,,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,
Thailand,,SDG2,SDG3,,SDG5,,,,SDG9,,SDG11,SDG12,SDG13,,SDG15,SDG16,
Timor-Leste,,,,,,,,,,,,,,,,,
Togo,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,SDG15,SDG16,
Trinidad and Tobago,,SDG2,SDG3,,,,SDG7,SDG8,SDG9,,,SDG12,SDG13,SDG14,SDG15,SDG16,
Tunisia,,SDG2,SDG3,,SDG5,SDG6,,SDG8,SDG9,,,,,SDG14,SDG15,SDG16,
Turkey,SDG1,SDG2,,SDG4,SDG5,,,SDG8,SDG9,SDG10,,SDG12,SDG13,SDG14,SDG15,,
Turkmenistan,,,,,,,,,,,,,,,,,
Uganda,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,,SDG15,SDG16,SDG17
Ukraine,,,SDG3,,SDG5,,,SDG8,SDG9,,,SDG12,SDG13,SDG14,SDG15,SDG16,
United Arab Emirates,,SDG2,,,,SDG6,SDG7,,SDG9,,SDG11,SDG12,SDG13,,,SDG16,
United Kingdom,,SDG2,,,,,SDG7,,,SDG10,,,SDG13,SDG14,SDG15,,
United States,SDG1,SDG2,,,SDG5,,SDG7,SDG8,,SDG10,,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Uruguay,,,SDG3,,SDG5,,,,SDG9,SDG10,,SDG12,,,SDG15,SDG16,
Uzbekistan,,,,,,,,,,,,,,,,,
Venezuela,,SDG2,SDG3,,SDG5,,,SDG8,SDG9,SDG10,,SDG12,SDG13,SDG14,,SDG16,
Vietnam,,SDG2,SDG3,,,,SDG7,SDG8,SDG9,,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,
Yemen,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,SDG14,,SDG16,
Zambia,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,,,,SDG16,SDG17
Zimbabwe,SDG1,SDG2,SDG3,,,SDG6,SDG7,SDG8,SDG9,,SDG11,SDG12,,,SDG15,SDG16,
